angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.54,"[793, 280, 271, 341]",0.0,0.16,0.0,0.14,0.09,0.07
0.54,"[793, 280, 271, 341]",0.0,0.16,0.0,0.14,0.09,0.07
0.29,"[787, 268, 288, 380]",0.0,0.18,0.0,0.26,0.05,0.22
0.31,"[787, 269, 287, 378]",0.0,0.21,0.0,0.21,0.05,0.21
0.28,"[797, 271, 279, 372]",0.0,0.24,0.0,0.08,0.03,0.37
0.32,"[797, 270, 279, 373]",0.0,0.21,0.0,0.1,0.03,0.33
0.32,"[797, 270, 279, 373]",0.0,0.21,0.0,0.1,0.03,0.33
0.37,"[795, 270, 284, 373]",0.0,0.23,0.0,0.15,0.04,0.21
0.36,"[795, 270, 284, 373]",0.0,0.23,0.0,0.15,0.04,0.2
0.42,"[784, 269, 292, 373]",0.0,0.15,0.0,0.31,0.09,0.04
0.42,"[784, 269, 292, 373]",0.0,0.15,0.0,0.31,0.09,0.04
0.42,"[784, 269, 292, 373]",0.0,0.15,0.0,0.31,0.09,0.04
0.47,"[793, 280, 271, 344]",0.0,0.19,0.0,0.18,0.11,0.05
0.46,"[792, 279, 272, 345]",0.0,0.18,0.0,0.19,0.11,0.07
0.19,"[794, 280, 272, 344]",0.0,0.19,0.0,0.39,0.21,0.01
0.2,"[794, 280, 272, 344]",0.0,0.2,0.0,0.39,0.21,0.01
0.2,"[794, 280, 272, 344]",0.0,0.2,0.0,0.39,0.21,0.01
0.21,"[787, 276, 279, 358]",0.0,0.19,0.0,0.42,0.18,0.0
0.21,"[787, 276, 279, 358]",0.0,0.19,0.0,0.42,0.18,0.0
0.13,"[788, 261, 284, 363]",0.0,0.19,0.0,0.4,0.27,0.01
0.14,"[788, 261, 284, 363]",0.0,0.19,0.0,0.39,0.27,0.01
0.14,"[788, 261, 284, 363]",0.0,0.19,0.0,0.39,0.27,0.01
0.14,"[788, 264, 285, 359]",0.0,0.21,0.0,0.34,0.3,0.01
0.13,"[788, 263, 286, 360]",0.0,0.23,0.0,0.31,0.32,0.01
0.14,"[791, 264, 283, 359]",0.0,0.18,0.0,0.35,0.3,0.02
0.14,"[791, 264, 283, 359]",0.0,0.19,0.0,0.36,0.3,0.02
0.14,"[791, 264, 283, 359]",0.0,0.18,0.0,0.36,0.3,0.02
0.17,"[791, 263, 284, 359]",0.0,0.15,0.0,0.28,0.38,0.02
0.17,"[791, 263, 284, 359]",0.0,0.15,0.0,0.28,0.38,0.02
0.17,"[790, 252, 277, 344]",0.0,0.38,0.0,0.24,0.19,0.02
0.18,"[790, 252, 277, 344]",0.0,0.38,0.0,0.23,0.19,0.02
0.2,"[791, 252, 275, 344]",0.0,0.35,0.0,0.23,0.19,0.02
0.2,"[789, 252, 275, 342]",0.0,0.36,0.0,0.24,0.16,0.04
0.15,"[793, 253, 275, 343]",0.0,0.42,0.0,0.23,0.18,0.02
0.15,"[793, 253, 275, 343]",0.0,0.41,0.0,0.23,0.18,0.02
0.15,"[793, 253, 275, 343]",0.0,0.42,0.0,0.23,0.18,0.02
0.16,"[794, 253, 274, 344]",0.0,0.42,0.0,0.23,0.17,0.02
0.16,"[794, 253, 274, 344]",0.0,0.42,0.0,0.22,0.17,0.02
0.19,"[795, 254, 273, 342]",0.0,0.39,0.0,0.21,0.18,0.03
